Section Type,propType,propValues
BEAM ST,610,Ax D Bf Tf Tw Iz Iy Ix
BEAM D,616,D Bf Tf Tw Iz Iy Ix SP
BEAM TC,613,Ax D Bf Tf Tw Iz Iy Ix WP TH
BEAM BC,614,Ax D Bf Tf Tw Iz Iy Ix WP TH
BEAM TB,615,Ax D Bf Tf Tw Iz Iy Ix WP TH BW BT
BEAM T,611,Ax D Bf Tf Tw Iz Iy Ix
BEAM CM,612,Ax D Bf Tf Tw Iz Iy Ix CT FC CW
CHANNEL ST,630,Ax D Bf Tf Tw Iz Iy Ix CT
CHANNEL D,631,Ax D Bf Tf Tw Iz Iy Ix SP
CHANNEL FR,633,Ax D Bf Tf Tw Iz Iy Ix FR
ANGLE ST,640,Ax D B T Iz Iy Ix
ANGLE LD,642,Ax D B T Iz Iy Ix LD
ANGLE SD,643,Ax D B T Iz Iy Ix SD
ANGLE RA,641,Ax D B T Iz Iy Ix
ANGLE SA,646,Ax D B T Iz Iy Ix
PIPE ST,660,Ax OD Tw Iz Iy Ix
HSS RECTANGLE,654,Ax D B T Iz Iy Ix
HSS ROUND,655,Ax OD Tw Iz Iy Ix
CASTEL ST,656,Ax D Bf Tf Tw Iz Iy Ix
TUBE ST,650,Ax D B T Iz Iy Ix
TEE ST,620,Ax D Bf Tf Tw Iz Iy Ix
PLATE STRIP,666,Ax D B T Iz Iy Ix
ANGLE COLD ST,644,Ax D B T Iz Iy Ix R LIP Ay Az
ANGLE COLD ST WITH LIPS,645,Ax D B T Iz Iy Ix R LIP Ay Az
CHANNEL COLD ST,634,Ax Bf T R Iz Iy Ix LIP Ay Az
CHANNEL COLD ST WITH LIPS,635,Ax Bf T R Iz Iy Ix LIP Ay Az
ZEES COLD ST,662,Ax D B T LIP <LIP R Iz Iy Ix Ay Az
ZEES COLD ST WITH LIPS,663,Ax D B T LIP <LIP R Iz Iy Ix Ay Az
HAT COLD ST,664,Ax D B T BOT_F R Iz Iy Ix Ay Az
TAPER,680,F1 F2 F3 F4 F5 F6 F7
TAPERED TUBE,675,Ax Iz Iy Ix D1 D2 TH SECTION_TYPE
,,"SECTION_TYPE(1 TO 6 for Round,Hexdecagonal,Dodecagonal,Octagonal,Hexagonal,Square respectively)"
PRISMATIC CIRCLE,671,Ax Iz Iy Ix YD
PRISMATIC RECT,672,Ax Iz Iy Ix YD ZD
PRISMATIC TRAP,674,Ax Iz Iy Ix YD ZD ZB
PRISMATIC TEE,673,Ax Iz Iy Ix YD ZD YB ZB
PRISMATIC GENERAL,676,Ax Ay Az Ix Iy Iz YD ZD YB ZB
SOLID ROUND,668,Ax OD Tw Iz Iy Ix
UPT PRISMATIC,699,Ax Iz Iy Ix Ay Az YD ZD
UPT GENERAL,697,Ax D Td B Tb Iz Iy Ix Sz Sy Ay Az Pz Py Hss Dee
UPT WIDE FLANGE,690,Ax D Tw Wf Tf Iz Iy Ix Ay Az Wf1 Tf1
UPT CHANNEL,691,Ax D Tw Wf Tf Iz Iy Ix Cz Ay Az
UPT ANGLE,692,Ax D Wf Tf R Ay Az Iz Iy Ix
UPT DOUBLE ANGLE,693,Ax D Wf Tf SP Iz Iy Ix Cy Ay Az
UPT TEE,694,Ax D Wf Tf Tw Iz Iy Ix Cy Ay Az
UPT PIPE,695,Ax OD ID Ay Az Iz Iy Ix
UPT TUBE,696,Ax D Wf Tf Iz Iy Ix Ay Az
UPT ISECTION,698,Dww Tww Dww1 Bff Tff Bff1 Tff1 Ayf Azf Xif